Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","t","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","01379.01","Areca nuts","2022","2022","ha","39157","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","01379.01","Areca nuts","2022","2022","kg/ha","8522.7","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01379.01","Areca nuts","2022","2022","t","333724","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","01312","Bananas","2022","2022","ha","49609","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","01312","Bananas","2022","2022","kg/ha","16653.8","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01312","Bananas","2022","2022","t","826179","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0115","Barley","2022","2022","ha","183","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","0115","Barley","2022","2022","kg/ha","939.9","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0115","Barley","2022","2022","t","172","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","01701","Beans, dry","2022","2022","ha","87500","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","01701","Beans, dry","2022","2022","kg/ha","920.6","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01701","Beans, dry","2022","2022","t","80553","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5111","Stocks","02112","Buffalo","2022","2022","An","1508000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","21513","Buffalo fat, unrendered","2022","2022","t","334.61","I","Imputed value",""
